profile_id,category_l1,category_l2,purpose_type,parameter_name,operator,threshold_value,severity,enabled,unit,note
TOY_GENERAL__MARKET_DISCOVERY__V1,TOY,TOY_GENERAL,MARKET_DISCOVERY,avg_price_min,>=,15,soft,true,USD,玩具默认价格下限，避免明显低利润市场
TOY_GENERAL__MARKET_DISCOVERY__V1,TOY,TOY_GENERAL,MARKET_DISCOVERY,avg_price_max,<=,70,soft,true,USD,玩具默认价格上限，保留中高客单机会
TOY_GENERAL__MARKET_DISCOVERY__V1,TOY,TOY_GENERAL,MARKET_DISCOVERY,monthly_sales_min,>=,1500,soft,true,units,玩具通用市场发现规模门槛
TOY_GENERAL__MARKET_DISCOVERY__V1,TOY,TOY_GENERAL,MARKET_DISCOVERY,new_product_ratio_min,>=,5,hold,true,pct,新品占比偏低先hold，不直接fail
TOY_GENERAL__MARKET_DISCOVERY__V1,TOY,TOY_GENERAL,MARKET_DISCOVERY,commodity_concentration_max,<=,0.60,hold,true,ratio,玩具类默认商品集中度上限
TOY_GENERAL__MARKET_DISCOVERY__V1,TOY,TOY_GENERAL,MARKET_DISCOVERY,brand_concentration_max,<=,0.65,hold,true,ratio,玩具类默认品牌集中度上限
TOY_GENERAL__MARKET_DISCOVERY__V1,TOY,TOY_GENERAL,MARKET_DISCOVERY,seller_concentration_max,<=,0.60,hold,true,ratio,玩具类默认卖家集中度上限
TOY_GENERAL__MARKET_DISCOVERY__V1,TOY,TOY_GENERAL,MARKET_DISCOVERY,avg_rating_min,>=,3.7,hold,true,score,评分偏低作为风险提醒
TOY_NOVELTY_ARCADE__IDEA_VALIDATION__V1,TOY,TOY_NOVELTY_ARCADE,PRODUCT_IDEA_VALIDATION,avg_price_min,>=,18,soft,true,USD,claw machine 当前建议先走 novelty/arcade 模板
TOY_NOVELTY_ARCADE__IDEA_VALIDATION__V1,TOY,TOY_NOVELTY_ARCADE,PRODUCT_IDEA_VALIDATION,avg_price_max,<=,80,soft,true,USD,不给过早卡死 60 美元上限
TOY_NOVELTY_ARCADE__IDEA_VALIDATION__V1,TOY,TOY_NOVELTY_ARCADE,PRODUCT_IDEA_VALIDATION,monthly_sales_min,>=,1000,soft,true,units,idea validation 阶段放宽规模门槛
TOY_NOVELTY_ARCADE__IDEA_VALIDATION__V1,TOY,TOY_NOVELTY_ARCADE,PRODUCT_IDEA_VALIDATION,new_product_ratio_min,>=,5,hold,true,pct,新品占比低先hold，不直接fail
TOY_NOVELTY_ARCADE__IDEA_VALIDATION__V1,TOY,TOY_NOVELTY_ARCADE,PRODUCT_IDEA_VALIDATION,commodity_concentration_max,<=,0.65,hold,true,ratio,novelty/arcade 容忍更高集中度
TOY_NOVELTY_ARCADE__IDEA_VALIDATION__V1,TOY,TOY_NOVELTY_ARCADE,PRODUCT_IDEA_VALIDATION,brand_concentration_max,<=,0.70,hold,true,ratio,品牌集中作为风险提醒，不先硬fail
TOY_NOVELTY_ARCADE__IDEA_VALIDATION__V1,TOY,TOY_NOVELTY_ARCADE,PRODUCT_IDEA_VALIDATION,seller_concentration_max,<=,0.65,hold,true,ratio,卖家集中作为风险提醒，不先硬fail
TOY_NOVELTY_ARCADE__IDEA_VALIDATION__V1,TOY,TOY_NOVELTY_ARCADE,PRODUCT_IDEA_VALIDATION,trend_decline_allowed,==,False,soft,true,bool,持续下滑趋势直接降级
TOY_NOVELTY_ARCADE__IDEA_VALIDATION__V1,TOY,TOY_NOVELTY_ARCADE,PRODUCT_IDEA_VALIDATION,giftability_tag_required,==,True,tag,true,bool,礼品属性作为特征标签，不作为硬门槛
TOY_NOVELTY_ARCADE__IDEA_VALIDATION__V1,TOY,TOY_NOVELTY_ARCADE,PRODUCT_IDEA_VALIDATION,ip_risk_redline,==,True,hard,true,bool,玩具类IP/形象侵权做硬红线
TOY_NOVELTY_ARCADE__IDEA_VALIDATION__V1,TOY,TOY_NOVELTY_ARCADE,PRODUCT_IDEA_VALIDATION,toy_compliance_required,==,True,hard,true,bool,玩具类合规检查做硬红线
